DATE,BOROUGH,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS STREET NAME,OFF STREET NAME,CONTRIBUTINGFACTOR,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1
9/1/2019,,,,,NASSAU EXPRESSWAY               ,,,Driver Inattention/Distraction,,,,,4198311,Sedan
9/1/2019,,40.673676,-73.86576,POINT (-73.86576 40.673676),SUTTER AVENUE                   ,,,Unspecified,,,,,4199346,Sedan
9/1/2019,,40.8746,-73.9097,POINT (-73.9097 40.8746),BROADWAY                        ,,,Pavement Defective,,,,,4197802,Sedan
9/1/2019,,,,,GRAND CENTRAL PARKWAY           ,UNION TURNPIKE,,Unspecified,,,,,4199721,Motorcycle
9/1/2019,BROOKLYN,40.665245,-73.87513,POINT (-73.87513 40.665245),LINDEN BOULEVARD                ,ATKINS AVENUE,,Following Too Closely,Unspecified,,,,4199339,Sedan
9/1/2019,BRONX,,,,EAST FORDHAM ROAD               ,BELMONT AVENUE,,Driver Inattention/Distraction,Unspecified,,,,4199427,Station Wagon/Sport Utility Vehicle
9/1/2019,STATEN ISLAND,40.55232,-74.190956,POINT (-74.190956 40.55232),,,260       ARDEN AVENUE                  ,View Obstructed/Limited,Unspecified,,,,4198162,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.74915,-73.98828,POINT (-73.98828 40.74915),AVENUE OF THE AMERICAS          ,,,Traffic Control Disregarded,,,,,4201656,Taxi
9/1/2019,BRONX,40.873394,-73.90671,POINT (-73.90671 40.873394),WEST 225 STREET                 ,EXTERIOR STREET,,Driver Inattention/Distraction,Unspecified,,,,4198003,Sedan
9/1/2019,BRONX,40.853024,-73.88407,POINT (-73.88407 40.853024),,,2358      CROTONA AVENUE                ,Driver Inattention/Distraction,Unspecified,,,,4197979,Sedan
9/1/2019,,40.836437,-73.91842,POINT (-73.91842 40.836437),WALTON AVENUE                   ,,,Driver Inattention/Distraction,Unspecified,Unspecified,,,4198170,Station Wagon/Sport Utility Vehicle
9/1/2019,BRONX,40.822105,-73.90062,POINT (-73.90062 40.822105),PROSPECT AVENUE                 ,EAST 163 STREET,,Unspecified,Unspecified,,,,4198144,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.83394,-73.9087,POINT (-73.9087 40.83394),EAST 169 STREET                 ,,,Unspecified,,,,,4198190,Sedan
9/1/2019,BROOKLYN,40.70207,-73.94423,POINT (-73.94423 40.70207),,,672       BROADWAY                      ,Unsafe Speed,Unspecified,Unspecified,,,4198832,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.70145,-73.989624,POINT (-73.989624 40.70145),BROOKLYN QUEENS EXPRESSWAY      ,,,Unsafe Lane Changing,Unspecified,,,,4200946,Taxi
9/1/2019,,40.696198,-73.98869,POINT (-73.98869 40.696198),ADAMS STREET                    ,,,Unsafe Lane Changing,Unsafe Speed,,,,4199595,Taxi
9/1/2019,,40.738194,-73.8492,POINT (-73.8492 40.738194),LONG ISLAND EXPRESSWAY          ,,,Following Too Closely,Unspecified,,,,4198039,Taxi
9/1/2019,BRONX,40.809105,-73.9229,POINT (-73.9229 40.809105),EAST 138 STREET                 ,WILLIS AVENUE,,Unspecified,Unspecified,,,,4198258,Sedan
9/1/2019,QUEENS,40.70678,-73.90888,POINT (-73.90888 40.70678),,,565       WOODWARD AVENUE               ,Passing or Lane Usage Improper,Unspecified,Unspecified,,,4197863,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.66484,-73.82229,POINT (-73.82229 40.66484),BELT PARKWAY                    ,,,Other Vehicular,,,,,4198309,Motorcycle
9/1/2019,QUEENS,40.668026,-73.78108,POINT (-73.78108 40.668026),ROCKAWAY BOULEVARD              ,140 AVENUE,,,,,,,4201281,
9/1/2019,,40.811367,-73.95402,POINT (-73.95402 40.811367),MORNINGSIDE AVENUE              ,WEST 125 STREET,,Other Vehicular,,,,,4203076,Taxi
9/1/2019,BROOKLYN,40.68665,-73.91315,POINT (-73.91315 40.68665),BUSHWICK AVENUE                 ,ELDERT STREET,,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,Unspecified,,4198868,Sedan
9/1/2019,,40.613922,-73.89704,POINT (-73.89704 40.613922),BELT PARKWAY                    ,,,Following Too Closely,Unspecified,,,,4198593,Station Wagon/Sport Utility Vehicle
9/1/2019,,,,,HUTCHINSON RIVER PARKWAY RAMP   ,,,Unspecified,Unspecified,,,,4198959,Sedan
9/1/2019,BROOKLYN,40.627903,-73.92104,POINT (-73.92104 40.627903),,,1021      EAST 57 STREET                ,Unspecified,Unspecified,,,,4198304,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.716675,-73.75502,POINT (-73.75502 40.716675),207 STREET                      ,93 AVENUE,,Driver Inattention/Distraction,Unspecified,,,,4197897,Sedan
9/1/2019,,40.74106,-73.946106,POINT (-73.946106 40.74106),LONG ISLAND EXPRESSWAY          ,,,Unsafe Lane Changing,Unspecified,,,,4198914,Sedan
9/1/2019,,40.787174,-73.81349,POINT (-73.81349 40.787174),CROSS ISLAND PARKWAY            ,,,Failure to Yield Right-of-Way,Following Too Closely,,,,4198628,Station Wagon/Sport Utility Vehicle
9/1/2019,,40.696785,-73.95659,POINT (-73.95659 40.696785),BEDFORD AVENUE                  ,,,Driver Inattention/Distraction,Unspecified,,,,4201792,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.698345,-73.890205,POINT (-73.890205 40.698345),COOPER AVENUE                   ,64 LANE,,Unspecified,Unspecified,,,,4198080,Station Wagon/Sport Utility Vehicle
9/1/2019,,,,,LINDEN BOULEVARD                ,235 STREET,,Unspecified,,,,,4198056,Sedan
9/1/2019,,,,,FERRY TERMINAL DRIVE            ,RICHMOND TERRACE,,Unspecified,,,,,4198655,Sedan
9/1/2019,,40.69878,-73.91178,POINT (-73.91178 40.69878),PALMETTO STREET                 ,,,Unspecified,Unspecified,,,,4198864,Bus
9/1/2019,MANHATTAN,40.71891,-73.999245,POINT (-73.999245 40.71891),CENTRE STREET                   ,HOWARD STREET,,Driver Inattention/Distraction,Unspecified,,,,4198235,Sedan
9/1/2019,BRONX,40.8396,-73.86922,POINT (-73.86922 40.8396),EAST TREMONT AVENUE             ,COMMONWLTH AVENUE,,Unspecified,Unspecified,,,,4197920,Taxi
9/1/2019,,40.74543,-73.84748,POINT (-73.84748 40.74543),GRAND CENTRAL PKWY              ,,,Driver Inattention/Distraction,Unspecified,,,,4197966,Station Wagon/Sport Utility Vehicle
9/1/2019,MANHATTAN,40.71997,-73.992905,POINT (-73.992905 40.71997),DELANCEY STREET                 ,CHRYSTIE STREET,,Other Vehicular,Other Vehicular,,,,4202456,Station Wagon/Sport Utility Vehicle
9/1/2019,MANHATTAN,40.759243,-73.9847,POINT (-73.9847 40.759243),,,6         TIMES SQUARE                  ,Unspecified,Unspecified,,,,4198394,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.70226,-73.840034,POINT (-73.840034 40.70226),,,109-72    PARK LANE SOUTH               ,Driver Inattention/Distraction,,,,,4201352,Sedan
9/1/2019,MANHATTAN,40.76318,-73.98437,POINT (-73.98437 40.76318),,,266       WEST 52 STREET                ,Unsafe Lane Changing,Unspecified,,,,4198735,Sedan
9/1/2019,,40.719566,-73.94561,POINT (-73.94561 40.719566),GRAHAM AVENUE                   ,MEEKER AVENUE,,Unspecified,Unspecified,,,,4198797,Sedan
9/1/2019,BROOKLYN,40.67216,-73.98721,POINT (-73.98721 40.67216),4 AVENUE                        ,6 STREET,,Driver Inattention/Distraction,Unspecified,,,,4198189,Box Truck
9/1/2019,,,,,VERRAZANO BRIDGE UPPER          ,,,Reaction to Uninvolved Vehicle,Following Too Closely,Unspecified,,,4198363,Station Wagon/Sport Utility Vehicle
9/1/2019,BROOKLYN,40.676613,-73.89024,POINT (-73.89024 40.676613),,,2816      ATLANTIC AVENUE               ,Unspecified,,,,,4199379,Taxi
9/1/2019,,40.66644,-73.95361,POINT (-73.95361 40.66644),ROGERS AVENUE                   ,,,Unspecified,Unspecified,,,,4202936,Sedan
9/1/2019,BROOKLYN,40.650063,-73.90738,POINT (-73.90738 40.650063),,,9701      AVENUE D                      ,Driver Inattention/Distraction,Unspecified,,,,4198148,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.703728,-73.8151,POINT (-73.8151 40.703728),,,140-24    QUEENS BOULEVARD              ,Driver Inattention/Distraction,Unspecified,,,,4198517,Sedan
9/1/2019,BRONX,40.89466,-73.86137,POINT (-73.86137 40.89466),EAST 233 STREET                 ,BRONX BOULEVARD,,Following Too Closely,Unspecified,,,,4201977,Station Wagon/Sport Utility Vehicle
9/1/2019,BRONX,40.89466,-73.86137,POINT (-73.86137 40.89466),EAST 233 STREET                 ,BRONX BOULEVARD,,Driver Inattention/Distraction,Unspecified,,,,4201967,Station Wagon/Sport Utility Vehicle
9/1/2019,MANHATTAN,40.79157,-73.94678,POINT (-73.94678 40.79157),EAST 105 STREET                 ,LEXINGTON AVENUE,,Driver Inattention/Distraction,Unspecified,,,,4198420,Bus
9/1/2019,,40.68025,-73.82223,POINT (-73.82223 40.68025),111 AVENUE                      ,,,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,,4198315,Sedan
9/1/2019,,,,,COLLEGE POINT BOULEVARD         ,HARDING EXPRESSWAY,,Passing Too Closely,Passing Too Closely,,,,4198674,Taxi
9/1/2019,QUEENS,,,,,,66-67     fresh pond road               ,Unspecified,Unspecified,,,,4199113,Station Wagon/Sport Utility Vehicle
9/1/2019,MANHATTAN,40.86769,-73.92122,POINT (-73.92122 40.86769),BROADWAY                        ,WEST 207 STREET,,Unspecified,,,,,4198430,Bike
9/1/2019,QUEENS,40.688362,-73.77663,POINT (-73.77663 40.688362),MERRICK BOULEVARD               ,116 AVENUE,,Alcohol Involvement,Unspecified,,,,4198579,Sedan
9/1/2019,,40.630684,-74.16175,POINT (-74.16175 40.630684),,,261       LOCKMAN AVENUE                ,Driver Inattention/Distraction,Unspecified,,,,4198482,Sedan
9/1/2019,QUEENS,40.677444,-73.83242,POINT (-73.83242 40.677444),,,110-42    107 STREET                    ,Passing Too Closely,Unspecified,,,,4198313,Station Wagon/Sport Utility Vehicle
9/1/2019,MANHATTAN,40.757362,-73.96068,POINT (-73.96068 40.757362),SUTTON PLACE                    ,EAST 57 STREET,,Turning Improperly,Unspecified,,,,4197677,Sedan
9/1/2019,BROOKLYN,40.61913,-73.99019,POINT (-73.99019 40.61913),65 STREET                       ,18 AVENUE,,Alcohol Involvement,Unspecified,,,,4198134,Sedan
9/1/2019,STATEN ISLAND,40.643776,-74.078445,POINT (-74.078445 40.643776),WALL STREET                     ,ACADEMY PLACE,,Unspecified,Unspecified,,,,4198651,Sedan
9/1/2019,,40.72773,-73.90674,POINT (-73.90674 40.72773),BORDEN AVENUE                   ,MAURICE AVENUE,,Failure to Yield Right-of-Way,Unspecified,,,,4206501,Station Wagon/Sport Utility Vehicle
9/1/2019,,,,,UTOPIA PARKWAY                  ,HARDING EXPRESSWAY,,Turning Improperly,Unspecified,,,,4198076,Station Wagon/Sport Utility Vehicle
9/1/2019,QUEENS,40.748775,-73.80977,POINT (-73.80977 40.748775),PARSONS BOULEVARD               ,ROSE AVENUE,,Failure to Yield Right-of-Way,,,,,4198627,Station Wagon/Sport Utility Vehicle
